sent_id,expression,predicted_stratum,predicted_tags,predicted_compositional,review,review_note
57550,the person on the right half in the frame,absolute,absolute,False,,
60250,a close up of a keyboard with the ? symbol in the front,absolute,absolute,False,,
66227,the orange in the front,absolute,absolute|attribute,False,,
76798,the white pick up truck with a motor bike in the back,absolute,absolute|attribute,False,,
15298,the turn wheel in the middle,absolute,absolute,False,,
46137,a bottle with yellow color tape on its neck and a gray color label on its bottom,absolute,absolute|attribute,False,,
75897,person on top right side,absolute,absolute,False,,
93140,"the dog in back , closer to the brown pillow",absolute,absolute|attribute,False,,
92826,pizza in the background,absolute,absolute,False,,
17812,girl on the right,absolute,absolute,False,,
72186,the car behind the man holding his head,relational,relation,True,,
62931,a gray elephant beside a brown elephant,relational,attribute|relation,False,,
57502,"a black car , to the right of a firehydrant",relational,absolute|attribute|relation,True,,
31427,the plate in front of the woman in red who is holding her hand over one eye,relational,attribute|relation,True,,
93016,a giraffe that is standing taller than the other,relational,relation,False,,
59932,the elephant the man and boy are sitting on,relational,relation,False,,
44677,a round food item to the left of another,relational,absolute|relation,True,,
69230,a person holding a cell phone,relational,relation,False,,
42846,the wooden table the plate is sitting on,relational,attribute|relation,False,,
12118,a man with a black tshirt on sitting on the left of the woman beside him,relational,absolute|attribute|relation,True,,
57496,a black motorcycle behind a man in a white shirt,relational,attribute|relation,False,,
48797,a sandwich on the left side of the plate with tomatoes,relational,absolute|relation,True,,
29110,toes nearly rise up to block the tv screen in front of them,relational,relation,False,,
82336,the back of a person wearing a jacked with a white stripe on it,relational,attribute|relation,False,,
73970,a woman holding a tennis racket along with a player posing for a photo,relational,relation,False,,
60851,a white horse with a man riding rearing up into the air,relational,attribute|relation,False,,
82182,man in black holding a frisbee,relational,attribute|relation,False,,
16586,some broccoli right next to some califlour,relational,relation,False,,
101698,the bed to the right of the other bed furtherest from the desk,relational,absolute|relation,True,,
58335,an empty green chair sitting next to a table,relational,attribute|relation,False,,
30234,"young asian male wearing glasses , white tee shirt and black pants standing on a green tennis court",relational,attribute|relation,False,,
28582,a giraffe with its head high above other giraffes,relational,relation,False,,
78573,a little boy in a light green shirt looking at a computer screen,relational,attribute|relation,False,,
67715,an adult zebra standing behind a baby zebra,relational,relation,False,,
103146,the person dressed in dark colors under the dark umbrella,relational,attribute|relation,False,,
42521,a black couch with a fur throw on it right next to a coffee table,relational,attribute|relation,False,,
28498,wooden table top holding fruit,relational,attribute|relation,False,,
57620,a red sofa directly facing the television,relational,attribute|relation,False,,
50450,a man in black pants standing behind men draining blood from sheep,relational,attribute|relation,False,,
73807,the slatted back of the bench,relational,relation,False,,
77518,cow behind the other cow,relational,relation,False,,
8791,the book touching the man,relational,relation,False,,
4907,a slice of pizza is under some salad,relational,relation,False,,
44151,the bench the person is sitting on,relational,relation,False,,
48241,reflection of the person holding umbrella,relational,relation,False,,
85206,"a large red , white , and blue boat carrying vegetables",relational,attribute|relation,False,,
38175,an older man looks surprised and happy as he sits beside a toddler,relational,relation,False,,
102238,a young child carrying a red surf board,relational,attribute|relation,False,,
17654,a man in a brown shirt holding snow skis,relational,attribute|relation,False,,
20109,a table covered in a white cloth with empty plates on top of it,relational,attribute|relation,False,,
86084,folded chair furthest from fence,logical,comparison,False,,
33078,the teacup the the upper left of the muffin nearest to the camera,logical,absolute|comparison|relation,True,,
10308,a vase sitting behind and between two kneeling children figurines,logical,cardinality|relation,True,,
99430,right most girl playing games,logical,comparison,False,,
15913,a chair that is sitting on all four legs,logical,cardinality|relation,True,,
3065,a horse with a police officer riding it in the middle of two others,logical,absolute|cardinality|relation,True,,
82039,the smallest of the giraffes,logical,comparison,False,,
90662,a zebra eating grass behind two other zebras,logical,cardinality|relation,True,,
13124,the elephant closest to the camera,logical,comparison,False,,
779,happy 13th gift,logical,ordinal,False,,
10471,a half of a sandwich nearest a bowl of fruit,logical,comparison,False,,
49502,the largest truck,logical,comparison,False,,
29402,the elephant to the left of the smaller elephant,logical,absolute|comparison|relation,True,,
27113,white car parked first in the picture,logical,attribute|ordinal,False,,
69228,the bed closest to the viewer,logical,comparison,False,,
83525,"a young asian woman sits at a table beside another , both in robes",logical,cardinality|relation,True,,
9185,an amber - colored ornate vase to the left of two other ornate white vases,logical,absolute|attribute|cardinality|relation,True,,
74301,the darker of the two cats,logical,cardinality|comparison,True,,
101855,two arms to right of cake,logical,absolute|cardinality|relation,True,,
96981,a white and brown vase on the right of two others,logical,absolute|attribute|cardinality|relation,True,,
92096,a black couch with two light colored pillows,logical,attribute|cardinality,False,,
62373,the empty bowl closest to us,logical,comparison,False,,
27387,smaller elephant,logical,comparison,False,,
61964,the monitor farther from the keyboard,logical,comparison,False,,
47485,a soccer player in black attempts to thread the ball between two opposing defenders wearing white,logical,attribute|cardinality|relation,True,,
85052,full body of a giraffe and head present from second giraffe,logical,ordinal,False,,
58437,a steel stick with two black circles on either side,logical,attribute|cardinality,False,,
80290,the closest green veggie,logical,attribute|comparison,False,,
97541,the chair closest to the tennis player,logical,comparison,False,,
90029,not a visable whole orange,logical,attribute|negation,False,,
2277,the dining table with 4 chairs,logical,cardinality,False,,
18661,a white car parked next to two cows near the mountains,logical,attribute|cardinality|relation,True,,
19155,three rolling suitcases,logical,cardinality,False,,
17166,a giraffe lying down closest to the car,logical,comparison,False,,
44323,a race bike standing second from right,logical,ordinal,False,,
53281,the woman in the dark shirt nearest to the camera,logical,attribute|comparison,False,,
92842,a bull nearest the cart,logical,comparison,False,,
63598,the front most white bowl filled with broccoli,logical,attribute|comparison,False,,
62740,woman without sunglasses,logical,negation,False,,
34039,chair which is flat and farthest to the left,logical,absolute|comparison,True,,
35119,there is person wearing blue t - shite taking a picture,unclassified,attribute,False,,
20451,the duck that is standing up on the ledge,unclassified,,False,,
97160,the batter in the green shirt is waiting to hit the ball with his bat,unclassified,attribute,False,,
67887,a red chair that is being occupied by a man and his laptop,unclassified,attribute,False,,
42955,a piece of pizza with only cheese on it,unclassified,,False,,
47223,a small cup of broccoli with a white object in it,unclassified,attribute,False,,
21971,black suitcase being pulled by man ' s arm and a rolling suitcase with handle extended,unclassified,attribute,False,,
46078,long table with bench with cake and utensils being used for a kids ' party,unclassified,,False,,
80412,a person in a green shirt is barely in view of the camera,unclassified,attribute,False,,
79998,a nok air get with a dark purple fin,unclassified,attribute,False,,
57178,"a pizza with pepperoni , tomatoes , onions , olives , and cheese",unclassified,,False,,
96948,a man in beige cargo shorts and a blue tshirt and a brown hat cutting up a party platter sandwhich,unclassified,attribute,False,,
57297,a man with glasses and a brown and blue shirt,unclassified,attribute,False,,
101966,a man skateboarding in blue jeans and white shirt,unclassified,attribute,False,,
41179,a table that has glasses and menus on them,unclassified,,False,,
81119,a cat laying on its back in a chair,unclassified,,False,,
7653,a giraffe whose head is obscured by a tree,unclassified,,False,,
86921,a victorian - decorated ewer with white and purple flowers on the table at a cafe called cocoa,unclassified,attribute,False,,
17339,a left hand picking up a piece of red pepper,unclassified,attribute,False,,
4232,a mature brunette is sitting at a restaurant table,unclassified,,False,,
12192,a pinkish teddy bear with some writing on the bottom of it ' s feet,unclassified,,False,,
14251,a castro team baseball player hitting the ball with the bat,unclassified,,False,,
66193,the dog with its ears down with the black collar,unclassified,attribute,False,,
32710,the blue cushion on the seat of the chair that the dog is laying on,unclassified,attribute,False,,
40523,a lady wearing white color top and red color pant,unclassified,attribute,False,,
50131,a man with black hair wearing a white t shirt that is sitting down,unclassified,attribute,False,,
44629,a motorcycle that has a man on the phone on it,unclassified,,False,,
18194,the green and gray train with yellow markings on the door,unclassified,attribute,False,,
78551,a man in a black suit with a red handkerchief,unclassified,attribute,False,,
26577,a brown and white giraffe sticking out its tounge,unclassified,attribute,False,,
8752,a laptop that is mostly black with the part around the mouse pad that is silver,unclassified,attribute,False,,
19279,a black bag with white writing hanging over a man with glasses shoulder,unclassified,attribute,False,,
103657,a red doubledecker bus with a blue banner on it,unclassified,attribute,False,,
37190,baked chicken in a tin container that also has broccoli,unclassified,,False,,
41928,"a man wearing glasses , a gray t - shirt , and jeans",unclassified,attribute,False,,
87156,a gray wheely chair with a white girl sitting at the computer,unclassified,attribute,False,,
97758,a man is looking into the camera wearing red coloured t shirt,unclassified,attribute,False,,
103106,a late middle - aged man serving multiple tennis balls,unclassified,,False,,
64065,a horse being led by a man with the number 2 on his shirt,unclassified,,False,,
15855,old style bicycle carring green bananas casting a shadow on the ground,unclassified,attribute,False,,
